id,genre,title
80200047,Children & Family Movies,The Boy Who Harnessed the Wind
80135073,Children & Family Movies,Beauty and the Beast (2017)
60004478,Children & Family Movies,Harry Potter and the Sorcerer's Stone
70021636,Children & Family Movies,Madagascar
80033394,Children & Family Movies,Minions
80192815,Children & Family Movies,Barbie Dolphin Magic
70216224,Children & Family Movies,Madagascar 3: Europe's Most Wanted
60024925,Children & Family Movies,Harry Potter and the Chamber of Secrets
60000901,Children & Family Movies,How the Grinch Stole Christmas
81079230,Children & Family Movies,Lucky Luke
60020786,Children & Family Movies,The Princess Diaries
80204923,Children & Family Movies,Benji
70011204,Children & Family Movies,The SpongeBob SquarePants Movie
14607635,Children & Family Movies,Mulan
80121839,Children & Family Movies,Smurfs: The Lost Village
70213513,Children & Family Movies,Brave
70033005,Children & Family Movies,Matilda
70218755,Children & Family Movies,Diary of a Wimpy Kid: Dog Days
70021648,Children & Family Movies,Charlie and the Chocolate Factory
60020916,Children & Family Movies,Spy Kids
70118952,Children & Family Movies,Diary of a Wimpy Kid
80166319,Children & Family Movies,The Little Mermaid
80048061,Children & Family Movies,Hotel Transylvania 2
70075480,Children & Family Movies,Kung Fu Panda
70109893,Children & Family Movies,How to Train Your Dragon
70289949,Children & Family Movies,The Lego Movie
60034567,Children & Family Movies,Harry Potter and the Prisoner of Azkaban
70273612,Children & Family Movies,Cloudy with a Chance of Meatballs 2
80071348,Children & Family Movies,Kung Fu Panda 3
70021660,Children & Family Movies,Harry Potter and the Goblet of Fire
60034572,Children & Family Movies,Shrek 2
81046846,Children & Family Movies,Pokémon the Movie: I Choose You!
80998967,Children & Family Movies,Good Sam
60004479,Children & Family Movies,"Monsters, Inc."
80988892,Children & Family Movies,Next Gen
70060010,Children & Family Movies,Bee Movie
70077512,Children & Family Movies,The Game Plan
70243449,Children & Family Movies,Rise of the Guardians
510854,Children & Family Movies,The Flintstones
70099116,Children & Family Movies,Madagascar: Escape 2 Africa
70113007,Children & Family Movies,Cloudy with a Chance of Meatballs
80102579,Children & Family Movies,Full Out
80995799,Children & Family Movies,Walk. Ride. Rodeo.
986399,Children & Family Movies,Space Jam
80063956,Children & Family Movies,Alvin and the Chipmunks: The Road Chip
70208102,Children & Family Movies,Dr. Seuss' The Lorax
70060002,Children & Family Movies,Mr. Bean's Holiday
70307653,Children & Family Movies,Pan
70170262,Children & Family Movies,Diary of a Wimpy Kid: Rodrick Rules
596974,Children & Family Movies,Home Alone
70058027,Children & Family Movies,Harry Potter and the Order of the Phoenix
70060017,Children & Family Movies,The Water Horse: Legend of the Deep
70126574,Children & Family Movies,Kung Fu Panda 2
60030118,Children & Family Movies,Casper
70117295,Children & Family Movies,Shrek Forever After
60010110,Children & Family Movies,Back to the Future
70044595,Children & Family Movies,Monster House
70044882,Children & Family Movies,Over the Hedge
70107121,Children & Family Movies,Ice Age: Dawn of the Dinosaurs
70120525,Children & Family Movies,Percy Jackson & the Olympians: The Lightning Thief
523650,Children & Family Movies,Free Willy
60021868,Children & Family Movies,The Many Adventures of Winnie the Pooh
70115887,Children & Family Movies,Harry Potter and the Deathly Hallows: Part 1
596983,Children & Family Movies,Home Alone 2: Lost in New York
60000485,Children & Family Movies,Kirikou and the Sorceress
70099612,Children & Family Movies,Harry Potter and the Half-Blood Prince
